カード名(オラクル),セグメント番号,マナ・コスト,名前(オラクル・正面非反転),色指標(正面非反転),色(正面非反転),特殊タイプ・リスト(正面非反転),カード・タイプ・リスト(正面非反転),サブタイプ・リスト(正面非反転),オラクル・テキスト(正面非反転),パワー(正面非反転),タフネス(正面非反転),忠誠度(正面非反転),名前(オラクル・背面/反転),色指標(背面/反転),色(背面/反転),特殊タイプ・リスト(背面/反転),カード・タイプ・リスト(背面/反転),サブタイプ・リスト(背面/反転),オラクル・テキスト(背面/反転),パワー(背面/反転),タフネス(背面/反転),忠誠度(背面/反転),名前(プリント・正面非反転・英),名前(プリント・正面非反転・日),ルール・テキスト(プリント・正面非反転・英),ルール・テキスト(プリント・正面非反転・日),フレイバー・テキスト(正面非反転・英),フレイバー・テキスト(正面非反転・日),アーティスト,コレクター番号,名前(プリント・背面/反転・英),名前(プリント・背面/反転・日),ルール・テキスト(プリント・背面/反転・英),ルール・テキスト(プリント・背面/反転・日),フレイバー・テキスト(背面/反転・英),フレイバー・テキスト(背面/反転・日),アーティスト(背面),コレクター番号(背面),両面/反転,カード・セット・コード,レアリティ,禁止フォーマット・リスト,制限フォーマット・リスト,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,,Lava Axe deals 5 damage to target player.,,"<i>""Catch!""</i>",,Brian Snoddy,,,,,,,,,,,BTD,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,,Lava Axe deals 5 damage to target player.,,"""Catch!""",,Brian Snoddy,197,,,,,,,,,,8ED,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,"""Catch!""",そらよッ！,Brian Snoddy,200,,,,,,,,,,9ED,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,"""Catch!""",そらよッ！,Brian Snoddy,215,,,,,,,,,,10E,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,"<i>""Catch!""</i>",<i>「そらよッ！」</i>,Brian Snoddy,145,,,,,,,,,,M10,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,<i>From the heart of the mountain into the heart of the mage.</i>,<i>山の心臓から魔道士の心臓へ。</i>,Brian Snoddy,147,,,,,,,,,,M11,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,<i>It can chop down a redwood in a single stroke. Your sternum isn't going to fare any better.</i>,<i>それは杉の木を一撃で断ち割る。 お前のあばら骨がそれより強いとは思えない。</i>,Brian Snoddy,148,,,,,,,,,,M12,コモン,,,
Lava Axe,1,{4}{R},Lava Axe,,R,,ソーサリー,,Lava Axe deals 5 damage to target player.,,,,,,,,,,,,,,Lava Axe,溶岩の斧,Lava Axe deals 5 damage to target player.,プレイヤー１人を対象とする。溶岩の斧はそのプレイヤーに５点のダメージを与える。,<i>A strict upgrade over the cinder hatchet.</i>,<i>燃え尽きた手斧のまぎれもない強化版。</i>,Brian Snoddy,143,,,,,,,,,,M14,コモン,,,
Lay of the Land,1,{G},Lay of the Land,,G,,ソーサリー,,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.",,,,,,,,,,,,,,Lay of the Land,,"Search your library for a basic land card, reveal that card, and put it into your hand. Then shuffle your library.",,<i>Victory favors neither the righteous nor the wicked. It favors the prepared.</i>,,Mark Zug,81,,,,,,,,,,APC,コモン,,,
Lay of the Land,1,{G},Lay of the Land,,G,,ソーサリー,,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.",,,,,,,,,,,,,,Lay of the Land,地勢,"Search your library for a basic land card, reveal it, put it into your hand, then shuffle your library.",あなたのライブラリーから基本土地カードを１枚探し、それを公開してあなたの手札に加え、その後あなたのライブラリーを切り直す。,<i>Victory favors neither the righteous nor the wicked. It favors the prepared.</i>,<i>勝利の女神が微笑むのは正しい者でも邪悪な者でもない。備えのある者だけだ。</i>,Chuck Lukacs,183,,,,,,,,,,M14,コモン,,,
Lifebane Zombie,1,{1}{B}{B},Lifebane Zombie,,B,,クリーチャー,ゾンビ 戦士,"Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i><br/>When Lifebane Zombie enters the battlefield, target opponent reveals his or her hand. You choose a green or white creature card from it and exile that card.",3,1,,,,,,,,,,,,Lifebane Zombie,生命散らしのゾンビ,"Intimidate <i>(This creature can't be blocked except by artifact creatures and/or creatures that share a color with it.)</i>When Lifebane Zombie enters the battlefield, target opponent reveals his or her hand. You choose a green or white creature card from it and exile that card.",威嚇（このクリーチャーはアーティファクト・クリーチャーかこれと共通の色を持つクリーチャー以外にはブロックされない。）生命散らしのゾンビが戦場に出たとき、対戦相手１人を対象とする。そのプレイヤーは自分の手札を公開する。あなたはその中から緑か白のクリーチャー・カード１枚を選び、そのカードを追放する。,,,Min Yum,101,,,,,,,,,,M14,レア,,,
Lightning Talons,1,{2}{R},Lightning Talons,,R,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets +3/+0 and has first strike. <i>(It deals combat damage before creatures without first strike.)</i>,,,,,,,,,,,,,,Lightning Talons,稲妻の鉤爪,Enchant creature<br/>Enchanted creature gets +3/+0 and has first strike.,エンチャント（クリーチャー）<br/>エンチャントされているクリーチャーは＋３/＋０の修整を受けるとともに先制攻撃を持つ。,"<i>""This is going to hurt a lot, but on the bright side, you'll be dead soon.""</i><br/></i>?Sedris, the Traitor King</i>",<i>「ひどく痛むことになるが、良い方を考えるがいい。死はすぐに来る。」</i><br/></i>――裏切り者の王、セドリス</i>,Pete Venters,107,,,,,,,,,,ALA,コモン,,,
Lightning Talons,1,{2}{R},Lightning Talons,,R,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets +3/+0 and has first strike. <i>(It deals combat damage before creatures without first strike.)</i>,,,,,,,,,,,,,,Lightning Talons,稲妻の鉤爪,Enchant creatureEnchanted creature gets +3/+0 and has first strike. <i>(It deals combat damage before creatures without first strike.)</i>,エンチャント（クリーチャー）エンチャントされているクリーチャーは＋３/＋０の修整を受けるとともに先制攻撃を持つ。（それは先制攻撃を持たないクリーチャーよりも先に戦闘ダメージを与える。）,"<i>""The victim was either clawed to death or struck by lightning. Possibly both.""?Pel Javya, Wojek investigator</i>",<i>「被害者の死因は鉤爪による裂傷か稲妻の直撃。あるいはその両方。」――ウォジェクの調査官、ペール・ジャヴァ</i>,Johann Bodin,144,,,,,,,,,,M14,コモン,,,
Liliana of the Dark Realms,1,{2}{B}{B},Liliana of the Dark Realms,,B,,プレインズウォーカー,リリアナ,"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.<br/>-3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.<br/>-6: You get an emblem with ""Swamps you control have ‘{Tap}: Add {B}{B}{B}{B} to your mana pool.'""",,,3,,,,,,,,,,,Liliana of the Dark Realms,闇の領域のリリアナ,"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.<br/>-3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.<br/>-6: You get an emblem with ""Swamps you control have ‘{Tap}: Add {B}{B}{B}{B} to your mana pool.'""",＋１：あなたのライブラリーから沼カードを１枚探し、それを公開してあなたの手札に加える。その後あなたのライブラリーを切り直す。<br/>－３：クリーチャー１体を対象とする。それはターン終了時まで＋Ｘ/＋Ｘか－X/－Ｘの修整を受ける。Ｘはあなたがコントロールする沼の総数に等しい。<br/>－６：あなたは「あなたがコントロールする沼は『{Tap}：あなたのマナ・プールに{B}{B}{B}{B}を加える。』を持つ。」の紋章を得る。,,,D. Alexander Gregory,97,,,,,,,,,,M13,神話レア,,,
Liliana of the Dark Realms,1,{2}{B}{B},Liliana of the Dark Realms,,B,,プレインズウォーカー,リリアナ,"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.<br/>-3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.<br/>-6: You get an emblem with ""Swamps you control have ‘{Tap}: Add {B}{B}{B}{B} to your mana pool.'""",,,3,,,,,,,,,,,Liliana of the Dark Realms,闇の領域のリリアナ,"+1: Search your library for a Swamp card, reveal it, and put it into your hand. Then shuffle your library.-3: Target creature gets +X/+X or -X/-X until end of turn, where X is the number of Swamps you control.-6: You get an emblem with ""Swamps you control have ‘{Tap}: Add {B}{B}{B}{B} to your mana pool.'""",＋１：あなたのライブラリーから沼カードを１枚探し、それを公開してあなたの手札に加える。その後あなたのライブラリーを切り直す。－３：クリーチャー１体を対象とする。それはターン終了時まで＋Ｘ/＋Ｘ、または－Ｘ/－Ｘの修整を受ける。Ｘはあなたがコントロールする沼の総数に等しい。－６：あなたは「あなたがコントロールする沼は『{Tap}：あなたのマナ・プールに{B}{B}{B}{B}を加える。』を持つ。」の紋章を得る。,,,D. Alexander Gregory,102,,,,,,,,,,M14,神話レア,,,
Liliana's Reaver,1,{2}{B}{B},Liliana's Reaver,,B,,クリーチャー,ゾンビ,"Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i><br/>Whenever Liliana's Reaver deals combat damage to a player, that player discards a card and you put a 2/2 black Zombie creature token onto the battlefield tapped.",4,3,,,,,,,,,,,,Liliana's Reaver,リリアナの肉裂き,"Deathtouch <i>(Any amount of damage this deals to a creature is enough to destroy it.)</i>Whenever Liliana's Reaver deals combat damage to a player, that player discards a card and you put a 2/2 black Zombie creature token onto the battlefield tapped.",接死（これが何らかのダメージをクリーチャーに与えた場合、それだけで破壊される。）リリアナの肉裂きがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーはカードを１枚捨て、あなたは黒の２/２のゾンビ・クリーチャー・トークンを１体タップ状態で戦場に出す。,,,Karl Kopinski,103,,,,,,,,,,M14,レア,,,
Liturgy of Blood,1,{3}{B}{B},Liturgy of Blood,,B,,ソーサリー,,Destroy target creature. Add {B}{B}{B} to your mana pool.,,,,,,,,,,,,,,Liturgy of Blood,血の儀式文,Destroy target creature. Add {B}{B}{B} to your mana pool.,クリーチャー１体を対象とし、それを破壊する。あなたのマナ・プールに{B}{B}{B}を加える。,"<i>""You harbor such vast potential. It would be such a shame to let you die of old age.""?Zul Ashur, lich lord</i>",<i>「お前は実に大きな才能を秘めている。そんなお前が老衰で死ぬようでは、あまりに勿体ない。」――死者の王、ザル・アシュール</i>,Zack Stella,104,,,,,,,,,,M14,コモン,,,
Manaweft Sliver,1,{1}{G},Manaweft Sliver,,G,,クリーチャー,スリヴァー,"Sliver creatures you control have ""{Tap}: Add one mana of any color to your mana pool.""",1,1,,,,,,,,,,,,Manaweft Sliver,マナ編みスリヴァー,"Sliver creatures you control have ""{Tap}: Add one mana of any color to your mana pool.""",あなたがコントロールするスリヴァー・クリーチャーは「{Tap}：あなたのマナ・プールに、好きな色１色のマナ１点を加える。」を持つ。,"<i>""I see in their interconnectedness a strange embodiment of the natural order.""?Dionus, elvish archdruid</i>",<i>「あやつらの連動性には、自然秩序が奇妙な形で具現化しておる。」――エルフの大ドルイド、ダイオヌス</i>,Trevor Claxton,184,,,,,,,,,,M14,アンコモン,,,
Marauding Maulhorn,1,{2}{R}{R},Marauding Maulhorn,,R,,クリーチャー,ビースト,Marauding Maulhorn attacks each combat if able unless you control a creature named Advocate of the Beast.,5,3,,,,,,,,,,,,Marauding Maulhorn,無法の槌角,Marauding Maulhorn attacks each combat if able unless you control a creature named Advocate of the Beast.,あなたが獣の代言者という名前のクリーチャーをコントロールしていないかぎり、無法の槌角は可能なら各戦闘で攻撃する。,"<i>""It's not just you. Everyone makes it angry.""?Ardenoth, elvish nature advocate</i>",<i>「あんただけじゃない。あれは誰にでも腹を立てるんだ。」――エルフの自然の代言者、アーデノス</i>,Jesper Ejsing,145,,,,,,,,,,M14,コモン,,,
Mark of the Vampire,1,{3}{B},Mark of the Vampire,,B,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,,,,,,,,,,,,,,Mark of the Vampire,吸血鬼の印,Enchant creature<br/>Enchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,エンチャント（クリーチャー）<br/>エンチャントされているクリーチャーは、+2/+2の修整を受けるとともに絆魂を持つ。（このクリーチャーがダメージを与える場合、さらにそのコントローラーはその点数分のライフを得る。）,"<i>""My ‘condition' is a trial. The weak are consumed by it. The strong transcend it.""</i><br/></i>?Sorin Markov</i>",<i>「私の与える『病状』は一つの試練だ。」弱き者は蝕まれる。強き者は超越する。</i><br/></i>――ソリン・マルコフ</i>,Winona Nelson,99,,,,,,,,,,M13,コモン,,,
Mark of the Vampire,1,{3}{B},Mark of the Vampire,,B,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,,,,,,,,,,,,,,Mark of the Vampire,吸血鬼の印,Enchant creature<br/>Enchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,エンチャント（クリーチャー）エンチャントされているクリーチャーは、＋２/＋２の修整を受けるとともに絆魂を持つ。（このクリーチャーがダメージを与える場合、さらにそのコントローラーはその点数分のライフを得る。）,"<i>""My ‘condition' is a trial. The weak are consumed by it. The strong transcend it.""</i><br/></i>?Sorin Markov</i>",<i>「私の与える『病状』は一つの試練だ。弱き者は蝕まれる。強き者は超越する。」――ソリン・マルコフ</i>,Winona Nelson,29,,,,,,,,,,DDK,コモン,,,
Mark of the Vampire,1,{3}{B},Mark of the Vampire,,B,,エンチャント,オーラ,Enchant creature<br/>Enchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,,,,,,,,,,,,,,Mark of the Vampire,吸血鬼の印,Enchant creatureEnchanted creature gets +2/+2 and has lifelink. <i>(Damage dealt by the creature also causes its controller to gain that much life.)</i>,エンチャント（クリーチャー）エンチャントされているクリーチャーは、＋２/＋２の修整を受けるとともに絆魂を持つ。（このクリーチャーがダメージを与える場合、さらにそのコントローラーはその点数分のライフを得る。）,"<i>""My ‘condition' is a trial. The weak are consumed by it. The strong transcend it.""?Sorin Markov</i>",<i>「私の与える『病状』は一つの試練だ。弱き者は蝕まれる。強き者は超越する。」――ソリン・マルコフ</i>,Winona Nelson,105,,,,,,,,,,M14,コモン,,,
Master of Diversion,1,{2}{W},Master of Diversion,,W,,クリーチャー,人間 スカウト,"Whenever Master of Diversion attacks, tap target creature defending player controls.",2,2,,,,,,,,,,,,Master of Diversion,陽動の達人,"Whenever Master of Diversion attacks, tap target creature defending player controls.",陽動の達人が攻撃するたび、防御プレイヤーがコントロールしているクリーチャー１体を対象とし、それをタップする。,"<i>Choose your battles carefully. For example, avoid the big guy.</i>",<i>戦闘は慎重に選ぶんだ。たとえば、デカい奴は避けるとか。</i>,Michael Komarck,24,,,,,,,,,,M14,コモン,,,
Megantic Sliver,1,{5}{G},Megantic Sliver,,G,,クリーチャー,スリヴァー,Sliver creatures you control get +3/+3.,3,3,,,,,,,,,,,,Megantic Sliver,大身スリヴァー,Sliver creatures you control get +3/+3.,あなたがコントロールするスリヴァー・クリーチャーは＋３/＋３の修整を受ける。,"<i>Even the thrums, the lowliest of slivers, become deadly in its presence.</i>",<i>それがその場にいるときは、最下級のスリヴァーであるスラームでさえ大きな脅威となる。</i>,Ryan Barger,185,,,,,,,,,,M14,レア,,,
Merfolk Spy,1,{U},Merfolk Spy,,U,,クリーチャー,マーフォーク ならず者,"Islandwalk <i>(This creature can't be blocked as long as defending player controls an Island.)</i><br/>Whenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.",1,1,,,,,,,,,,,,Merfolk Spy,マーフォークのスパイ,"Islandwalk <i>(This creature is unblockable as long as defending player controls an Island.)</i><br/>Whenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.",島渡り （このクリーチャーは防御プレイヤーが島をコントロールしている限りブロックされない。）<br/>マーフォークのスパイがいずれかのプレイヤーに戦闘ダメージを与えるたび、そのプレイヤーは自分の手札からカードを１枚無作為に選んで公開する。,,,Matt Cavotta & Richard Whitters,66,,,,,,,,,,M11,コモン,,,
Merfolk Spy,1,{U},Merfolk Spy,,U,,クリーチャー,マーフォーク ならず者,"Islandwalk <i>(This creature can't be blocked as long as defending player controls an Island.)</i><br/>Whenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.",1,1,,,,,,,,,,,,Merfolk Spy,マーフォークのスパイ,"Islandwalk <i>(This creature can't be blocked as long as defending player controls an Island.)</i>Whenever Merfolk Spy deals combat damage to a player, that player reveals a card at random from his or her hand.",島渡り（このクリーチャーは防御プレイヤーが島をコントロールしているかぎりブロックされない。）マーフォークのスパイがプレイヤー１人に戦闘ダメージを与えるたび、そのプレイヤーは自分の手札からカードを１枚無作為に選んで公開する。,,,Matt Cavotta & Richard Whitters,62,,,,,,,,,,M14,コモン,,,
Messenger Drake,1,{3}{U}{U},Messenger Drake,,U,,クリーチャー,ドレイク,"Flying<br/>When Messenger Drake dies, draw a card.",3,3,,,,,,,,,,,,Messenger Drake,伝書ドレイク,"FlyingWhen Messenger Drake dies, draw a card.",飛行伝書ドレイクが死亡したとき、カードを１枚引く。,"<i>The more important the message, the larger the messenger.</i>",<i>伝書の重要性に比例して伝書使も大きくなる。</i>,Yeong-Hao Han,63,,,,,,,,,,M14,コモン,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,{2}: Take the top two cards from target player's library and put them in target player's graveyard.,,<i>More than one mage was driven insane by the sound of the Millstone relentlessly grinding away.</i>,,Kaja Foglio,,,,,,,,,,,ATQ,アンコモン,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Take the top two cards from target player's library and put them in target player's graveyard.",,<i>More than one mage was driven insane by the sound of the Millstone relentlessly grinding away.</i>,,Kaja Foglio,,,,,,,,,,,3ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Take the top two cards from target player's library and put them into that player's graveyard.",,<i>More than one mage was driven insane by the sound of the Millstone relentlessly grinding away.</i>,,Kaja Foglio,,,,,,,,,,,4ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Put the top two cards of target player's library into his or her graveyard.",,<i>More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.</i>,,Kaja Foglio,,,,,,,,,,,5ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,<i>More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.</i>,,John Avon,308,,,,,,,,,,7ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Put the top two cards of target player's library into his or her graveyard.",,<i>More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.</i>,,Kaja Foglio,299,,,,,,,,,,6ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.,,John Avon,307,,,,,,,,,,8ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,石臼,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.","{2}, {Tap}：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上のカード２枚を自分の墓地に置く。",More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.,ひとりならぬ魔術師が、石臼の無慈悲な挽き音によって狂気に追いやられた。,John Avon,304,,,,,,,,,,9ED,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,石臼,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.","{2}, {Tap}：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上のカード２枚を自分の墓地に置く。",More than one mage has been driven insane by the sound of the millstone relentlessly grinding away.,ひとりならぬ魔術師が、石臼の無慈悲な挽き音によって狂気に追いやられた。,John Avon,334,,,,,,,,,,10E,レア,,,
Millstone,1,{2},Millstone,,Colorless,,アーティファクト,,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.",,,,,,,,,,,,,,Millstone,石臼,"{2}, {Tap}: Target player puts the top two cards of his or her library into his or her graveyard.","{2}, {Tap}：プレイヤー１人を対象とする。そのプレイヤーは、自分のライブラリーの一番上から２枚のカードを自分の墓地に置く。","<i>Minds, like mountains, are never so grand and mighty that they can't be reduced to dust.</i>",<i>精神も山も似たようなもので、粉々にできないほど壮大で力強いわけでもない。</i>,Yeong-Hao Han,213,,,,,,,,,,M14,アンコモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,,"Your opponent chooses and discards two cards from his or her hand. <i>(If your opponent has only one card, he or she discards it.)</i>",,,,Steve Luke,,,,,,,,,,,POR,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,,"Your opponent chooses and discards two cards from his or her hand. <i>(If your opponent has only one card, he or she discards it.)</i>",,,,Douglas Shuler,,,,,,,,,,,P02,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,,Target player discards two cards from his or her hand.,,<i>What wizards fear most is losing their minds.</i>,,Adam Rex,147,,,,,,,,,,7ED,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,,"Target player chooses and discards two cards from his or her hand. <i>(If that player has only one card, he or she discards it.)</i>",,,,Steve Luke,83,,,,,,,,,,S99,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,,Target player discards two cards from his or her hand.,,What wizards fear most is losing their minds.,,Steve Luke,144,,,,,,,,,,8ED,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"""The beauty of mental attacks is that your victims never remember them."" <br/><i>?Volrath</i>",精神攻撃の一番美しいところは、犠牲者がそれを覚えていないことだ。――ヴォルラス,Steve Luke,145,,,,,,,,,,9ED,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"""The beauty of mental attacks is that your victims never remember them."" <br/>?Volrath",精神攻撃の一番美しいところは、犠牲者がそれを覚えていないことだ。 <br/>――ヴォルラス,Steve Luke,159,,,,,,,,,,10E,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"<i>""The beauty of mental attacks is that your victims never remember them.""</i><br/></i>?Volrath</i>",<i>精神攻撃の一番美しいところは、犠牲者がそれを覚えていないことだ。</i><br/></i>――ヴォルラス</i>,Steve Luke,105,,,,,,,,,,M10,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,<i>Not every thought is a good one.</i>,<i>全ての思考が良い物とは限らない。</i>,Steve Luke,105,,,,,,,,,,M11,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,<i>Not every thought is a good one.</i>,<i>全ての思考が良い物とは限らない。</i>,Steve Luke,101,,,,,,,,,,M12,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"<i>""What a pity. You should have written it down.""</i><br/></i>?Liliana Vess</i>",<i>「あら残念。メモしておけばよかったのに。」</i><br/></i>――リリアナ・ヴェス</i>,Steve Luke,100,,,,,,,,,,M13,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"<i>With no memories left to compare to his present situation, Andalum was finally content.</i>",<i>現在の状況と比較できるような記憶はもう残っていない――アンダルムはようやく満足した。</i>,Yeong-Hao Han,70,,,,,,,,,,RTR,コモン,,,
Mind Rot,1,{2}{B},Mind Rot,,B,,ソーサリー,,Target player discards two cards.,,,,,,,,,,,,,,Mind Rot,精神腐敗,Target player discards two cards.,プレイヤー１人を対象とする。そのプレイヤーはカードを２枚捨てる。,"<i>""What a pity. You should have written it down.""?Liliana Vess</i>",<i>「あら残念。メモしておけばよかったのに。」――リリアナ・ヴェス</i>,Steve Luke,106,,,,,,,,,,M14,コモン,,,
